Season,Gamecode,Home,Player_ID,IsStarter,IsPlaying,Team,Dorsal,Player,Minutes,Points,FieldGoalsMade2,FieldGoalsAttempted2,FieldGoalsMade3,FieldGoalsAttempted3,FreeThrowsMade,FreeThrowsAttempted,OffensiveRebounds,DefensiveRebounds,TotalRebounds,Assistances,Steals,Turnovers,BlocksFavour,BlocksAgainst,FoulsCommited,FoulsReceived,Valuation,Plusminus
2025,404,1,P008855   ,1.0,1.0,OLY,0,"WALKUP, THOMAS",26:06,2,1,1,0,1,0,0,0,5,5,5,0,2,0,0,3,5,11,13.0
2025,404,1,P012610   ,0.0,0.0,OLY,3,"WARD, TYSON",15:07,10,3,6,1,2,1,2,2,1,3,2,0,2,0,1,4,3,6,10.0
2025,404,1,P003469   ,1.0,0.0,OLY,14,"VEZENKOV, SASHA",22:10,16,5,9,2,4,0,0,0,5,5,1,0,0,0,0,0,0,16,8.0
2025,404,1,P001255   ,1.0,0.0,OLY,16,"PAPANIKOLAOU, KOSTAS",17:33,0,0,0,0,1,0,0,0,2,2,1,0,1,0,0,2,0,-1,13.0
2025,404,1,P009849   ,1.0,1.0,OLY,22,"DORSEY, TYLER",18:26,15,2,5,2,6,5,6,1,2,3,1,0,2,0,1,0,3,11,5.0
2025,404,1,P008829   ,0.0,1.0,OLY,25,"PETERS, ALEC",18:13,17,4,4,3,3,0,0,0,2,2,1,0,0,0,0,4,1,17,10.0
2025,404,1,P003941   ,1.0,1.0,OLY,33,"MILUTINOV, NIKOLA",26:42,6,2,4,0,0,2,2,3,10,13,0,0,0,0,0,1,2,18,11.0
2025,404,1,P014316   ,0.0,0.0,OLY,34,"JOSEPH, CORY",13:54,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,2,0,-1,5.0
2025,404,1,P011196   ,0.0,0.0,OLY,45,"HALL, DONTA",03:31,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,-3,6.0
2025,404,1,P007853   ,0.0,0.0,OLY,77,"MCKISSIC, SHAQUIELLE",04:27,1,0,0,0,1,1,2,0,0,0,1,0,0,0,0,0,1,1,-7.0
2025,404,1,P011981   ,0.0,0.0,OLY,88,"JONES, TYRIQUE",09:47,2,0,0,0,0,2,4,0,2,2,0,1,1,0,0,0,2,4,1.0
2025,404,1,P013380   ,0.0,1.0,OLY,94,"FOURNIER, EVAN",24:04,10,0,3,3,8,1,2,0,4,4,4,0,0,0,1,1,3,10,15.0
2025,404,1,Team,0.0,0.0,OLY,,Team,,0,0,0,0,0,0,0,1,3,4,0,0,1,0,0,0,0,3,
2025,404,1,Total,,,OLY,,Total,200:00,79,17,32,11,27,12,20,7,36,43,16,3,9,0,3,19,21,92,
2025,404,0,P009863   ,0.0,1.0,ULK,2,"BALDWIN IV, WADE",30:33,10,4,7,0,3,2,4,1,4,5,6,1,1,0,0,3,4,14,-13.0
2025,404,0,P002849   ,1.0,1.0,ULK,4,"MELLI, NICOLO",32:23,7,2,3,1,5,0,0,0,4,4,2,1,2,0,0,2,0,5,-15.0
2025,404,0,P014124   ,1.0,1.0,ULK,8,"HORTON TUCKER, TALEN",30:32,16,3,4,1,7,7,8,1,6,7,3,0,1,1,0,2,7,23,-10.0
2025,404,0,P014016   ,0.0,0.0,ULK,11,"BOSTON JR., BRANDON",DNP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2025,404,0,P002100   ,0.0,1.0,ULK,12,"DE COLO, NANDO",18:30,6,0,1,2,3,0,0,0,1,1,1,0,0,0,0,4,3,5,3.0
2025,404,0,P006961   ,1.0,1.0,ULK,13,"BIBEROVIC, TARIK",29:48,17,2,3,4,9,1,1,3,3,6,1,2,1,0,0,2,1,18,2.0
2025,404,0,P007929   ,0.0,0.0,ULK,17,"BITIM, ONURALP",00:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2025,404,0,P012613   ,0.0,0.0,ULK,18,"JANTUNEN, MIKAEL",12:56,0,0,1,0,5,0,0,0,0,0,1,0,0,1,0,2,0,-6,-10.0
2025,404,0,P011205   ,1.0,0.0,ULK,20,"HALL, DEVON",23:24,0,0,2,0,3,0,0,1,1,2,0,0,2,0,0,2,2,-5,-21.0
2025,404,0,P014220   ,0.0,0.0,ULK,30,"SILVA, CHRIS",08:03,2,1,3,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,-1.0
2025,404,0,P009783   ,0.0,0.0,ULK,50,"COLSON, BONZIE",05:33,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,-1,-10.0
2025,404,0,P007182   ,1.0,0.0,ULK,92,"BIRCH, KHEM",08:13,3,1,2,0,0,1,2,1,3,4,0,1,1,1,0,2,1,5,-13.0
2025,404,0,Team,0.0,0.0,ULK,,Team,,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,3,
2025,404,0,Total,,,ULK,,Total,200:00,61,13,26,8,36,11,15,8,26,34,14,5,9,3,0,21,19,61,
