TEAM_CODE,TEAM,ASSIST_PLAYER_ID,ASSIST_PLAYER,SCORER_PLAYER_ID,SCORER_PLAYER,ASSISTS,ASSISTED_POINTS
OLY,Olympiacos Piraeus,P008855,"WALKUP, THOMAS",P003469,"VEZENKOV, SASHA",3,7
OLY,Olympiacos Piraeus,P013380,"FOURNIER, EVAN",P008829,"PETERS, ALEC",2,5
OLY,Olympiacos Piraeus,P012610,"WARD, TYSON",P008829,"PETERS, ALEC",2,4
OLY,Olympiacos Piraeus,P007853,"MCKISSIC, SHAQUIELLE",P008829,"PETERS, ALEC",1,3
OLY,Olympiacos Piraeus,P008855,"WALKUP, THOMAS",P008829,"PETERS, ALEC",1,3
OLY,Olympiacos Piraeus,P009849,"DORSEY, TYLER",P013380,"FOURNIER, EVAN",1,3
OLY,Olympiacos Piraeus,P013380,"FOURNIER, EVAN",P003469,"VEZENKOV, SASHA",1,3
OLY,Olympiacos Piraeus,P001255,"PAPANIKOLAOU, KOSTAS",P003469,"VEZENKOV, SASHA",1,2
OLY,Olympiacos Piraeus,P003469,"VEZENKOV, SASHA",P003941,"MILUTINOV, NIKOLA",1,2
OLY,Olympiacos Piraeus,P008855,"WALKUP, THOMAS",P012610,"WARD, TYSON",1,2
ULK,Fenerbahce Beko Istanbul,P009863,"BALDWIN IV, WADE",P002100,"DE COLO, NANDO",2,6
ULK,Fenerbahce Beko Istanbul,P009863,"BALDWIN IV, WADE",P002849,"MELLI, NICOLO",2,5
ULK,Fenerbahce Beko Istanbul,P002849,"MELLI, NICOLO",P006961,"BIBEROVIC, TARIK",1,3
ULK,Fenerbahce Beko Istanbul,P009863,"BALDWIN IV, WADE",P006961,"BIBEROVIC, TARIK",1,3
ULK,Fenerbahce Beko Istanbul,P012613,"JANTUNEN, MIKAEL",P014124,"HORTON TUCKER, TALEN",1,3
ULK,Fenerbahce Beko Istanbul,P014124,"HORTON TUCKER, TALEN",P006961,"BIBEROVIC, TARIK",1,3
ULK,Fenerbahce Beko Istanbul,P002100,"DE COLO, NANDO",P007182,"BIRCH, KHEM",1,2
ULK,Fenerbahce Beko Istanbul,P006961,"BIBEROVIC, TARIK",P014220,"SILVA, CHRIS",1,2
ULK,Fenerbahce Beko Istanbul,P009863,"BALDWIN IV, WADE",P014124,"HORTON TUCKER, TALEN",1,2
ULK,Fenerbahce Beko Istanbul,P014124,"HORTON TUCKER, TALEN",P002849,"MELLI, NICOLO",1,2
