Gamecode,TEAM_CODE,TEAM,ASSIST_PLAYER_ID,ASSIST_PLAYER,SCORER_PLAYER_ID,SCORER_PLAYER,SHOT_TYPE,ASSISTED_POINTS,PERIOD,MINUTE,MARKERTIME
404,OLY,Olympiacos Piraeus,P008855,"WALKUP, THOMAS",P003469,"VEZENKOV, SASHA",2FGM,2,1,7,03:56
404,ULK,Fenerbahce Beko Istanbul,P002100,"DE COLO, NANDO",P007182,"BIRCH, KHEM",2FGM,2,1,7,03:04
404,ULK,Fenerbahce Beko Istanbul,P009863,"BALDWIN IV, WADE",P002100,"DE COLO, NANDO",3FGM,3,1,8,02:33
404,OLY,Olympiacos Piraeus,P012610,"WARD, TYSON",P008829,"PETERS, ALEC",2FGM,2,2,12,08:18
404,OLY,Olympiacos Piraeus,P013380,"FOURNIER, EVAN",P008829,"PETERS, ALEC",2FGM,2,2,14,06:58
404,ULK,Fenerbahce Beko Istanbul,P006961,"BIBEROVIC, TARIK",P014220,"SILVA, CHRIS",2FGM,2,2,16,04:04
404,ULK,Fenerbahce Beko Istanbul,P002849,"MELLI, NICOLO",P006961,"BIBEROVIC, TARIK",3FGM,3,2,17,03:19
404,OLY,Olympiacos Piraeus,P007853,"MCKISSIC, SHAQUIELLE",P008829,"PETERS, ALEC",3FGM,3,2,18,02:54
404,ULK,Fenerbahce Beko Istanbul,P014124,"HORTON TUCKER, TALEN",P002849,"MELLI, NICOLO",2FGM,2,2,20,00:24
404,OLY,Olympiacos Piraeus,P008855,"WALKUP, THOMAS",P003469,"VEZENKOV, SASHA",3FGM,3,3,21,09:43
404,OLY,Olympiacos Piraeus,P003469,"VEZENKOV, SASHA",P003941,"MILUTINOV, NIKOLA",2FGM,2,3,21,09:15
404,ULK,Fenerbahce Beko Istanbul,P009863,"BALDWIN IV, WADE",P002100,"DE COLO, NANDO",3FGM,3,3,25,05:47
404,ULK,Fenerbahce Beko Istanbul,P014124,"HORTON TUCKER, TALEN",P006961,"BIBEROVIC, TARIK",3FGM,3,3,25,05:13
404,OLY,Olympiacos Piraeus,P008855,"WALKUP, THOMAS",P003469,"VEZENKOV, SASHA",2FGM,2,3,26,04:30
404,OLY,Olympiacos Piraeus,P001255,"PAPANIKOLAOU, KOSTAS",P003469,"VEZENKOV, SASHA",2FGM,2,3,27,03:55
404,ULK,Fenerbahce Beko Istanbul,P012613,"JANTUNEN, MIKAEL",P014124,"HORTON TUCKER, TALEN",3FGM,3,3,28,02:28
404,OLY,Olympiacos Piraeus,P013380,"FOURNIER, EVAN",P003469,"VEZENKOV, SASHA",3FGM,3,3,29,01:16
404,ULK,Fenerbahce Beko Istanbul,P009863,"BALDWIN IV, WADE",P006961,"BIBEROVIC, TARIK",3FGM,3,4,31,09:49
404,ULK,Fenerbahce Beko Istanbul,P009863,"BALDWIN IV, WADE",P014124,"HORTON TUCKER, TALEN",2FGM,2,4,32,08:44
404,OLY,Olympiacos Piraeus,P012610,"WARD, TYSON",P008829,"PETERS, ALEC",2FGM,2,4,34,06:29
404,OLY,Olympiacos Piraeus,P013380,"FOURNIER, EVAN",P008829,"PETERS, ALEC",3FGM,3,4,35,06:00
404,OLY,Olympiacos Piraeus,P008855,"WALKUP, THOMAS",P012610,"WARD, TYSON",2FGM,2,4,36,04:39
404,OLY,Olympiacos Piraeus,P008855,"WALKUP, THOMAS",P008829,"PETERS, ALEC",3FGM,3,4,38,02:00
404,ULK,Fenerbahce Beko Istanbul,P009863,"BALDWIN IV, WADE",P002849,"MELLI, NICOLO",2FGM,2,4,39,01:15
404,ULK,Fenerbahce Beko Istanbul,P009863,"BALDWIN IV, WADE",P002849,"MELLI, NICOLO",3FGM,3,4,40,00:39
404,OLY,Olympiacos Piraeus,P009849,"DORSEY, TYLER",P013380,"FOURNIER, EVAN",3FGM,3,4,40,00:18
