Season,Gamecode,NUM_ANOT,TEAM,ID_PLAYER,PLAYER,ID_ACTION,ACTION,POINTS,COORD_X,COORD_Y,ZONE,FASTBREAK,SECOND_CHANCE,POINTS_OFF_TURNOVER,MINUTE,CONSOLE,POINTS_A,POINTS_B,UTC
2025,404,4,ULK,P002849,"MELLI, NICOLO",3FGA,Missed Three Pointer,0,683,25,I,0,0,0,1,09:39,0,0,20260522150310
2025,404,6,OLY,P003469,"VEZENKOV, SASHA",3FGA,Missed Three Pointer,0,690,-25,I,0,0,0,1,09:22,0,0,20260522150327
2025,404,12,OLY,P009849,"DORSEY, TYLER",3FGA,Missed Three Pointer,0,395,621,I,0,0,0,2,08:54,0,0,20260522150416
2025,404,17,ULK,P014124,"HORTON TUCKER, TALEN",3FGA,Missed Three Pointer,0,-244,746,H,0,0,0,2,08:06,0,0,20260522150522
2025,404,20,OLY,P001255,"PAPANIKOLAOU, KOSTAS",3FGA,Missed Three Pointer,0,683,-25,I,0,0,0,3,07:58,0,0,20260522150530
2025,404,27,OLY,P008855,"WALKUP, THOMAS",2FGM,Two Pointer,2,439,319,G,0,0,1,3,07:28,2,0,20260522150626
2025,404,28,ULK,P011205,"HALL, DEVON",3FGA,Missed Three Pointer,0,577,476,I,0,0,0,3,07:01,2,0,20260522150706
2025,404,33,ULK,P014124,"HORTON TUCKER, TALEN",3FGA,Missed Three Pointer,0,-87,708,H,0,0,0,4,06:32,2,0,20260522150740
2025,404,37,OLY,P003941,"MILUTINOV, NIKOLA",2FGA,Missed Two Pointer,0,-62,144,B,0,0,0,4,06:10,2,0,20260522150815
2025,404,51,ULK,P002849,"MELLI, NICOLO",2FGA,Missed Two Pointer,0,-589,-18,F,0,0,0,5,05:58,2,0,20260522151007
2025,404,42,OLY,P009849,"DORSEY, TYLER",3FGM,Three Pointer,3,232,740,I,0,0,0,5,05:41,5,0,20260522150845
2025,404,43,ULK,P011205,"HALL, DEVON",2FGA,Missed Two Pointer,0,-564,6,F,0,0,0,5,05:15,5,0,20260522150911
2025,404,45,OLY,P009849,"DORSEY, TYLER",3FGM,Three Pointer,3,301,727,I,0,0,0,5,05:07,8,0,20260522150919
2025,404,55,ULK,P014220,"SILVA, CHRIS",2FGA,Missed Two Pointer,0,-138,37,B,0,0,0,6,04:09,8,0,20260522151207
2025,404,58,OLY,P003469,"VEZENKOV, SASHA",2FGM,Two Pointer,2,37,169,C,0,0,0,7,03:56,10,0,20260522151221
2025,404,61,ULK,P014220,"SILVA, CHRIS",2FGA,Missed Two Pointer,0,87,100,C,0,0,0,7,03:38,10,0,20260522151409
2025,404,63,ULK,P009863,"BALDWIN IV, WADE",2FGA,Missed Two Pointer,0,-138,269,D,0,0,0,7,03:31,10,0,20260522151416
2025,404,73,OLY,P009849,"DORSEY, TYLER",FTM,Free Throw In,1,-1,-1, ,0,0,0,7,03:18,11,0,20260522151516
2025,404,74,OLY,P009849,"DORSEY, TYLER",FTM,Free Throw In,1,-1,-1, ,0,0,0,7,03:18,12,0,20260522151530
2025,404,75,ULK,P007182,"BIRCH, KHEM",2FGM,Two Pointer,2,-37,12,A,0,0,0,7,03:04,12,2,20260522151547
2025,404,78,OLY,P009849,"DORSEY, TYLER",3FGA,Missed Three Pointer,0,-395,652,H,0,0,0,8,02:43,12,2,20260522151608
2025,404,80,ULK,P002100,"DE COLO, NANDO",3FGM,Three Pointer,3,-595,451,H,0,0,0,8,02:33,12,5,20260522151617
2025,404,86,OLY,P009849,"DORSEY, TYLER",FTM,Free Throw In,1,-1,-1, ,0,0,0,8,02:27,13,5,20260522151701
2025,404,89,ULK,P009863,"BALDWIN IV, WADE",2FGM,Two Pointer,2,-326,388,F,0,0,0,8,02:12,13,7,20260522151729
2025,404,97,OLY,P009849,"DORSEY, TYLER",FTM,Free Throw In,1,-1,-1, ,0,0,0,9,01:59,14,7,20260522151815
2025,404,98,OLY,P009849,"DORSEY, TYLER",FTM,Free Throw In,1,-1,-1, ,0,0,0,9,01:59,15,7,20260522151828
2025,404,105,ULK,P011205,"HALL, DEVON",3FGA,Missed Three Pointer,0,-545,451,H,0,0,0,9,01:39,15,7,20260522151947
2025,404,107,OLY,P013380,"FOURNIER, EVAN",3FGA,Missed Three Pointer,0,552,526,I,0,0,0,9,01:17,15,7,20260522152009
2025,404,109,ULK,P006961,"BIBEROVIC, TARIK",3FGA,Missed Three Pointer,0,702,12,I,0,0,0,9,01:01,15,7,20260522152025
2025,404,121,ULK,P006961,"BIBEROVIC, TARIK",2FGM,Two Pointer,2,219,370,G,0,0,0,10,00:38,15,9,20260522152226
2025,404,122,OLY,P012610,"WARD, TYSON",3FGM,Three Pointer,3,62,734,I,0,0,0,10,00:20,18,9,20260522152245
2025,404,123,ULK,P014124,"HORTON TUCKER, TALEN",2FGM,Two Pointer,2,-50,106,B,0,0,0,10,00:05,18,11,20260522152302
2025,404,126,ULK,P014124,"HORTON TUCKER, TALEN",FTM,Free Throw In,1,-1,-1, ,0,0,0,10,00:05,18,12,20260522152325
2025,404,129,OLY,P003469,"VEZENKOV, SASHA",2FGA,Missed Two Pointer,0,-357,514,F,0,0,0,10,01:00,18,12,20260522152347
2025,404,143,OLY,P013380,"FOURNIER, EVAN",2FGA,Missed Two Pointer,0,282,282,E,0,0,0,11,09:42,18,12,20260522152628
2025,404,145,OLY,P012610,"WARD, TYSON",2FGM,Two Pointer,2,112,131,C,0,1,0,11,09:38,20,12,20260522152632
2025,404,148,ULK,P014124,"HORTON TUCKER, TALEN",3FGA,Missed Three Pointer,0,-683,43,H,0,0,0,11,09:20,20,12,20260522152711
2025,404,151,OLY,P014316,"JOSEPH, CORY",3FGA,Missed Three Pointer,0,363,696,I,0,0,0,12,08:54,20,12,20260522152737
2025,404,155,OLY,P012610,"WARD, TYSON",2FGA,Missed Two Pointer,0,150,156,C,0,0,0,12,08:30,20,12,20260522152803
2025,404,159,OLY,P008829,"PETERS, ALEC",2FGM,Two Pointer,2,-294,62,D,0,1,0,12,08:18,22,12,20260522152839
2025,404,170,OLY,P011981,"JONES, TYRIQUE",FTM,Free Throw In,1,-1,-1, ,0,0,1,13,07:36,23,12,20260522153017
2025,404,172,OLY,P011981,"JONES, TYRIQUE",FTM,Free Throw In,1,-1,-1, ,0,0,1,13,07:36,24,12,20260522153034
2025,404,173,ULK,P012613,"JANTUNEN, MIKAEL",2FGA,Missed Two Pointer,0,100,401,E,0,0,0,13,07:23,24,12,20260522153050
2025,404,176,OLY,P008829,"PETERS, ALEC",2FGM,Two Pointer,2,-539,50,F,0,0,0,14,06:58,26,12,20260522153132
2025,404,185,ULK,P002100,"DE COLO, NANDO",2FGA,Missed Two Pointer,0,-181,62,B,0,0,0,15,05:58,26,12,20260522153317
2025,404,187,ULK,P009863,"BALDWIN IV, WADE",3FGA,Missed Three Pointer,0,464,627,I,0,0,0,15,05:53,26,12,20260522153322
2025,404,195,OLY,P008829,"PETERS, ALEC",2FGM,Two Pointer,2,476,25,G,0,0,0,15,05:25,28,12,20260522153414
